35. (RB13) Aaron Jones, GB $23 14 115. (RB35) AJ Dillon, GB $2 14 195. (RB53) Isiah Pacheco, KC $0 8 275. (WR94) Bryan Edwards, ATL $0 14
36. (WR9) Keenan Allen, LAC $22 8 116. (RB36) Rashaad Penny, SEA $2 11 196. (RB54) Marlon Mack, HOU $0 6 276. (WR95) Sammy Watkins, GB $0 14
37. (QB13) Trey Lance, SF $22 9 117. (QB25) Mac Jones, NE $2 10 197. (RB55) Rachaad White, TB $0 11 277. (WR96) Braxton Berrios, NYJ $0 10
38. (WR10) Tee Higgins, CIN $21 10 118. (QB26) Jared Goff, DET $2 6 198. (WR68) Julio Jones, TB $0 11 278. (RB81) Eno Benjamin, ARI $0 13
39. (WR11) Mike Evans, TB $21 11 119. (QB27) Baker Mayfield, CAR $2 13 199. (RB56) Rex Burkhead, HOU $0 6 279. (RB82) Justin Jackson, DET $0 6
40. (WR12) DJ Moore, CAR $20 13 120. (RB37) James Robinson, JAC $2 11 200. (RB57) Mike Davis, BAL $0 10 280. (WR97) Terrace Marshall Jr., CAR $0 13
41. (RB14) Saquon Barkley, NYG $19 9 121. (RB38) James Cook, BUF $1 7 201. (RB58) Sony Michel, MIA $0 11 281. (WR98) Zay Jones, JAC $0 11
42. (RB15) Cam Akers, LAR $19 7 122. (RB39) Ken Walker III, SEA $1 11 202. (RB59) Darrel Williams, ARI $0 13 282. (WR99) James Washington, DAL $0 9
43. (WR13) Michael Pittman Jr., IND $18 14 123. (TE10) Pat Freiermuth, PIT $1 9 203. (WR69) Van Jefferson, LAR $0 7 283. (WR100) Byron Pringle, CHI $0 14
44. (WR14) A.J. Brown, PHI $17 7 124. (TE11) Cole Kmet, CHI $1 14 204. (WR70) Curtis Samuel, WAS $0 14 284. (WR101) Jauan Jennings, SF $0 9
45. (WR15) Terry McLaurin, WAS $17 14 125. (WR48) Jakobi Meyers, NE $1 10 205. (WR71) Wan'Dale Robinson, NYG $0 9 285. (RB83) Jeff Wilson Jr., SF $0 9
46. (QB14) Derek Carr, LV $15 6 126. (WR49) Russell Gage, TB $1 11 206. (QB33) Mitchell Trubisky, PIT $0 9 286. (RB84) Giovani Bernard, TB $0 11
47. (QB15) Kirk Cousins, MIN $15 7 127. (WR50) Marquez Valdes-Scantling, KC $1 8 207. (QB34) Jacoby Brissett, CLE $0 9 287. (RB85) Dwayne Washington, NO $0 14
48. (RB16) Nick Chubb, CLE $14 9 128. (WR51) Skyy Moore, KC $1 8 208. (QB35) Geno Smith, SEA $0 11 288. (RB86) Rico Dowdle, DAL $0 9
49. (WR16) Diontae Johnson, PIT $13 9 129. (WR52) Tyler Boyd, CIN $1 10 209. (QB36) Desmond Ridder, ATL $0 14 289. (RB87) Benny Snell Jr., PIT $0 9
50. (WR17) Jaylen Waddle, MIA $13 11 130. (WR53) Treylon Burks, TEN $1 6 210. (WR72) Christian Watson, GB $0 14 290. (RB88) Snoop Conner, JAC $0 11
